ID,NOMBRE,CEDULA,EDAD,JORNADA
1,DEIVID NICOLAS CORTES,21351221231,31,NOCHE
2,CARLOS EDUARDO ANGARITA,575245254,42,TARDE
3,DIEGO ANDRES REYES SASTOQUE,775721757,18,TARDE
4,EDWIN  ALEJANDRO SANCHEZ,75757257,21,NOCHE
5,ILBER DARIO  SAZA,75452754,38,TARDE
6,FREDDY ALBERTO MOYANO,343124212,42,MAÑANA
7,ELIZABETH SAENZ,213213543,29,NOCHE
8,JOSE ALEJANDRO ALVAREZ,772724214,24,NOCHE
9,JUAN GABRIEL VELANDIA,752742754,31,MAÑANA
10,SUJEY LORENA VILLEGAS PANTOJA,73427817,35,NOCHE
11,HERLY JOHANA VILLAMIZAR CARREÑO,142717541,19,NOCHE
12,CRISTINA ISABEL REALES,41213141,42,NOCHE
13,MARLY THAIANA CUBILLOS,213254135,31,MAÑANA
14,LIDIA SMITH AMADO DUGARTE,2132132132,26,MAÑANA
15,YERSON DARIO TORRES ALVAREZ,123135021,20,TARDE
16,CARLOS JOSE ARIAS,1003523221,19,TARDE
17,JOSE LUIS SOTO,1035413551,25,TARDE
18,KEVIN YESID MENDEZ,10032120,31,TARDE
19,CLAUDIA VIVIANA OROZCO,10203121,71,MAÑANA
20,WILMAR  MARQUEZ TOCANCHON,1032165412,21,MAÑANA
